airline ID,name,iata,icao,country,active
2048,Domodedovo Airlines,E3,Dmo,Russia,Y
2049,Don Avia,None,Dvb,Kazakhstan,N
2050,Donair Flying Club,None,Don,United Kingdom,N
2051,Donbassaero,5D,Udc,Ukraine,Y
2052,Dorado Air,None,Dad,Dominican Republic,N
2053,Dornier,None,Dor,Germany,N
2054,Dornier Aviation Nigeria,None,Dav,Nigeria,N
2055,Dos Mundos,None,Dom,Dominican Republic,N
2056,Dragonair,Ka,Hda,Dragon,Y
2057,Dreamcatcher Airways,None,Dca,United Kingdom,N
2058,Druk Air,Kb,Drk,Bhutan,Y
2059,Drummond Island Air,None,Dre,United States,N
2060,Dubai Airwing,None,Dub,United Arab Emirates,N
2061,Dubrovnik Air,None,Dbk,Croatia,Y
2062,Ducair,None,Duk,Luxembourg,N
2063,Duchess Of Britany (Jersey) Limited,None,Dbj,United Kingdom,N
2064,Uk Royal/Hrh Duke Of York,None,Lpd,United Kingdom,N
2065,Dun'Air,None,Dun,Mauritania,N
2066,Duncan Aviation,None,Phd,United States,N
2067,Dunyaya Bakis Hava Tasimaciligi,None,Vvf,Turkey,N
2068,Duo Airways,None,Duo,United Kingdom,N
2069,Durango Jet,None,Dje,Mexico,N
2070,Dutch Antilles Express,None,Dnl,Netherlands Antilles,Y
2071,Dutch Caribbean Express,None,Dce,Netherlands Antilles,N
2072,Dutchbird,None,Dbr,Netherlands,N
2073,Dwyer Aircraft Services,None,Dfs,United States,N
2074,Dynair Services,None,Xdy,United States,N
2075,Dynamair Aviation,None,Dnr,Canada,N
2076,Dynamic Air,None,Dye,Netherlands,N
2077,Dba,Di,Bag,Germany,Y
2078,E H Darby Aviation,None,Ehd,United States,N
2079,Electronic Data Systems,1C,None,Switzerland,N
2080,Electronic Data Systems,None,1Y,None,N
2081,Eaa Escola De Aviacao Aerocondor,None,Ead,Portugal,N
2082,Executive Airlines Services,None,Exw,Nigeria,N
